subid,trial,item,scope,neg_type,quant,answer
425451,test5,paper,QN,long,regular,no
425451,test7,triangle,QN+,long,moreThan,no
425451,test8,cup,NQ+,long,moreThan,yes
779843,training1,training1,,NA,NA,yes
779843,training2,training2,,NA,NA,no
779843,test2,cup,NQ,short,regular,yes
779843,test6,book,NQ,long,regular,yes
779843,test5,box,QN,long,regular,no
779843,test4,balloon,NQ+,short,moreThan,yes
779843,test7,pencil,QN+,long,moreThan,no
779843,test3,bowling,QN+,short,moreThan,no
779843,test8,paper,NQ+,long,moreThan,yes
779843,test1,triangle,QN,short,regular,no
773830,training1,training1,,NA,NA,yes
773830,training2,training2,,NA,NA,no
773830,test2,cup,NQ,short,regular,yes
773830,test1,balloon,QN,short,regular,no
773830,test7,pencil,QN+,long,moreThan,no
773830,test8,box,NQ+,long,moreThan,yes
773830,test6,book,NQ,long,regular,yes
773830,test4,bowling,NQ+,short,moreThan,yes
773830,test5,paper,QN,long,regular,no
773830,test3,triangle,QN+,short,moreThan,yes
544633,training1,training1,,NA,NA,yes
544633,training2,training2,,NA,NA,no
544633,test1,book,QN,short,regular,no
544633,test3,pencil,QN+,short,moreThan,no
544633,test8,triangle,NQ+,long,moreThan,no
544633,test7,box,QN+,long,moreThan,no
544633,test4,cup,NQ+,short,moreThan,yes
544633,test2,balloon,NQ,short,regular,yes
544633,test6,paper,NQ,long,regular,yes
544633,test5,bowling,QN,long,regular,no
462533,training1,training1,,NA,NA,yes
462533,training2,training2,,NA,NA,no
462533,test1,book,QN,short,regular,yes
462533,test7,balloon,QN+,long,moreThan,no
462533,test4,triangle,NQ+,short,moreThan,yes
462533,test5,box,QN,long,regular,no
462533,test8,bowling,NQ+,long,moreThan,yes
462533,test3,pencil,QN+,short,moreThan,no
462533,test2,paper,NQ,short,regular,yes
462533,test6,cup,NQ,long,regular,yes
891247,training1,training1,,NA,NA,yes
891247,training2,training2,,NA,NA,no
891247,test5,pencil,QN,long,regular,no
891247,test8,box,NQ+,long,moreThan,yes
891247,test7,paper,QN+,long,moreThan,no
891247,test6,balloon,NQ,long,regular,yes
891247,test2,triangle,NQ,short,regular,yes
891247,test1,bowling,QN,short,regular,no
891247,test3,book,QN+,short,moreThan,no
891247,test4,cup,NQ+,short,moreThan,no
234727,training1,training1,,NA,NA,yes
234727,training2,training2,,NA,NA,no
234727,test6,pencil,NQ,long,regular,yes
234727,test8,box,NQ+,long,moreThan,no
234727,test5,paper,QN,long,regular,yes
234727,test7,triangle,QN+,long,moreThan,no
234727,test2,book,NQ,short,regular,yes
234727,test4,balloon,NQ+,short,moreThan,yes
234727,test1,bowling,QN,short,regular,yes
234727,test3,cup,QN+,short,moreThan,yes
864633,training1,training1,,NA,NA,yes
864633,training2,training2,,NA,NA,no
864633,test6,cup,NQ,long,regular,yes
864633,test7,triangle,QN+,long,moreThan,no
864633,test8,balloon,NQ+,long,moreThan,yes
864633,test3,box,QN+,short,moreThan,no
864633,test4,bowling,NQ+,short,moreThan,yes
864633,test1,paper,QN,short,regular,no
864633,test2,pencil,NQ,short,regular,no
435252,training1,training1,,NA,NA,no
435252,training2,training2,,NA,NA,no
435252,test7,triangle,QN+,long,moreThan,no
435252,test2,bowling,NQ,short,regular,yes
435252,test3,pencil,QN+,short,moreThan,no
435252,test6,balloon,NQ,long,regular,yes
435252,test8,box,NQ+,long,moreThan,yes
435252,test5,cup,QN,long,regular,no
435252,test4,paper,NQ+,short,moreThan,yes
435252,test1,book,QN,short,regular,yes
110190,training1,training1,,NA,NA,yes
110190,training2,training2,,NA,NA,no
110190,test4,pencil,NQ+,short,moreThan,yes
110190,test5,bowling,QN,long,regular,no
110190,test1,cup,QN,short,regular,yes
110190,test3,book,QN+,short,moreThan,yes
110190,test7,box,QN+,long,moreThan,yes
110190,test2,balloon,NQ,short,regular,yes
110190,test8,triangle,NQ+,long,moreThan,yes
110190,test6,paper,NQ,long,regular,yes
390507,training1,training1,,NA,NA,yes
390507,training2,training2,,NA,NA,no
390507,test4,paper,NQ+,short,moreThan,no
390507,test8,cup,NQ+,long,moreThan,no
390507,test6,balloon,NQ,long,regular,yes
